Restaurant ID,Restaurant Name,City,Address,Zone,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes,Cuisines,Has Online delivery,Is delivering now,
301562,Thai Pavilion - Vivanta By Taj,Gurgaon,"Vivanta by Taj, Near HUDA City Center Metro Station, Sector 44, Gurgaon",Northern Zone,4000,4,4,Green,Very Good,219,"Italian, Pizza, Fast Food",Yes,No,
311480,3H Kitchen,Gurgaon,"B-70, Vyapar Kendra, Palam Vihar, Gurgaon",Northern Zone,600,2,2.9,Orange,Average,15,Bakery,No,No,
303866,Manish Sweets & Bakers,Gurgaon,"Shop 59, Vyapar Kendra, Palam Vihar, Gurgaon",Northern Zone,200,1,2.8,Orange,Average,5,"Pizza, Fast Food",No,No,
4188,Oasis Kitchen,Gurgaon,"S-161, Vyapar Kendra, Palam Vihar, Gurgaon",Northern Zone,250,1,2.9,Orange,Average,6,"Healthy Food, Juices, Salad, Italian, Continental",Yes,No,
311844,Ramchandra Chinese Food,Gurgaon,"C-145, Vyapar Kendra, Palam Vihar, Gurgaon",Northern Zone,250,1,2.7,Orange,Average,10,Korean,No,No,
308681,Sona Chinese,Gurgaon,"C-124, Vyapar Kendra, Palam Vihar, Gurgaon",Northern Zone,400,1,2.8,Orange,Average,14,"South Indian, North Indian",Yes,No,
2817,The Pastry Hut,Gurgaon,"S-73, Palam Vyapar Kendra, Palam Vihar, Gurgaon",Northern Zone,150,1,2.9,Orange,Average,13,"Italian, Pizza, Cafe",Yes,No,
5927,Aggarwal Sweets & Restaurant,Gurgaon,"B-89, Vyaapar Kendra, Palam Vihar, Gurgaon",Northern Zone,100,1,0,White,Not rated,0,"Burger, American, Fast Food",Yes,No,
301734,Bhoomika,Gurgaon,"39, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,250,1,2.9,Orange,Average,6,"North Indian, Continental, Asian",No,No,
309851,FoodZilla,Gurgaon,"UGF-126, 1st Floor, Vyapar Kendra, C Block, Phase 1, Sushant Lok, Gurgaon",Northern Zone,700,2,3.3,Orange,Average,153,"Healthy Food, Beverages",Yes,No,
300097,Goli Vada Pav No. 1,Gurgaon,"180, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,150,1,3.4,Orange,Average,151,"Japanese, Chinese, Thai",No,No,
18466966,Indo Chinese,Gurgaon,"178, Ground Floor, Vyapar Kendra, Sushant Lok, Gurgaon",Northern Zone,200,1,3.2,Orange,Average,12,Cafe,No,No,
306524,Kathi Junction,Gurgaon,"GF-23, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,400,1,3,Orange,Average,89,Ice Cream,No,No,
1453,Romi da Dhaba,Gurgaon,"GF-177, Sushant Vyapar Kendra, Sushant Lok 1, Sushant Lok, Gurgaon",Northern Zone,550,2,3.1,Orange,Average,122,"Street Food, North Indian, Mithai",No,No,
1451,Shamji Snacks,Gurgaon,"54, Vyapar Kendra, Block C, Phase 1, Sushant Lok, Gurgaon",Northern Zone,400,1,2.7,Orange,Average,83,"Fast Food, Chinese",No,No,
300082,The Lunch Break,Gurgaon,"UGF-9, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,200,1,2.9,Orange,Average,7,"Cafe, Fast Food",No,No,
313479,Veg O Non,Gurgaon,"181, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,650,2,3.1,Orange,Average,21,"Bakery, Street Food",No,No,
9122,Alwar Sweets,Gurgaon,"GF-40, Opposite Mother Dairy, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,200,1,3.5,Yellow,Good,66,Bakery,Yes,No,
3559,Bakers Oven,Gurgaon,"9, Ground Floor, Vyaapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,600,2,3.6,Yellow,Good,69,"Chinese, Fast Food",No,No,
18265678,Burgzz Bee,Gurgaon,"GF-179, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,250,1,3.6,Yellow,Good,60,Desserts,No,No,
2165,Chinese Corner,Gurgaon,"GF-174, Vyapar Kendra, Sushant Lok, Gurgaon",Northern Zone,500,2,3.6,Yellow,Good,369,"North Indian, Chinese",No,No,
6769,Iroha,Gurgaon,"GF-144-146, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Northern Zone,400,1,3.7,Yellow,Good,63,"Ice Cream, Desserts",No,No,
18441791,Chaudhary Burfi Wala,Gurgaon,"Shop 38, Vyapar Kendra, Sushant Lok, Gurgaon",Northern Zone,150,1,0,White,Not rated,2,"North Indian, Chinese",No,No,
1454,Curry 'n' Phulka,Gurgaon,"GF-1, Vyapar Kendra, Block C, Sushant Lok, Gurgaon",Northern Zone,400,1,2.4,Red,Poor,83,"Street Food, Mithai, South Indian, North Indian, Chinese",Yes,No,
6775,Wah Ji Wah,Gurgaon,"100, Ground Floor, Vyapar Kendra, C Block, Phase 1, Sushant Lok, Gurgaon",Northern Zone,400,1,2.2,Red,Poor,142,"Mithai, Street Food, Chinese",No,No,
306043,Woods Spice,Gurgaon,"Woods Resort, H Block, Greenwood City, Near Sector 45, Gurgaon",Northern Zone,1300,3,3.2,Orange,Average,36,North Indian,No,No,
2100712,Mocha,Guwahati,"Anil Plaza 2, G.S Road, Christian Basti, Guwahati",North Eastern Zone,800,3,4.6,Dark Green,Excellent,394,"Continental, Chinese, North Indian, Mughlai",No,No,
2100478,Terra Mayaa Restaurant and Lounge,Guwahati,"6th Floor, Anil Plaza 2, G.S. Road, Christian Basti, Guwahati",North Eastern Zone,1400,3,3.9,Yellow,Good,360,"North Indian, Mughlai, Chinese",No,No,
18384506,The Basement Caf¡?,Guwahati,"R.G. Baruah Road, Near Guwahati Commerece College, Chandmari, Guwahati",North Eastern Zone,600,2,4.7,Dark Green,Excellent,126,"North Indian, Mughlai",No,No,
2100108,Strawberry Fields,Guwahati,"Chakradhar Villa, Opposite All India Radio, Chandmari, Guwahati",North Eastern Zone,500,2,4.1,Green,Very Good,290,"North Indian, Mughlai, South Indian",No,No,
2100921,Brooklyn Blues,Guwahati,"4th Floor, Dona Planet Mall, G. S. Road, Christian Basti, Guwahati",North Eastern Zone,1400,3,4.2,Green,Very Good,110,"Bakery, Desserts",No,No,
2100565,Confucius,Guwahati,"Near VLCC, G.S. Road, Christian Basti, Guwahati",North Eastern Zone,750,3,4.1,Green,Very Good,304,"Bakery, Fast Food",No,No,
2100870,The Woking Mama,Guwahati,"4th Floor, Dona Planet Multiplex Mall, D. Neog Path, GS Road, Christian Basti, Guwahati",North Eastern Zone,1300,3,4.4,Green,Very Good,129,Street Food,No,No,
2100861,Underdoggs Sports Bar & Grill,Guwahati,"1st Floor, Central Mall, G.S. Road, Sree Nagar, Christian Basti, Guwahati",North Eastern Zone,1650,4,4.4,Green,Very Good,222,"Street Food, Mithai",No,No,
18381932,The Zouq : Resto-Cafe,Guwahati,"1st Floor, Royal Orchard, House 1, By Lane 2, Near Arohan and Passport Office, Dispur, Guwahati",North Eastern Zone,500,2,4.1,Green,Very Good,124,Fast Food,No,No,
18397909,BrewBakes,Guwahati,"Near Six Mile Flyover, above Domino's Pizza, Six Mile, Guwahati G.S. Road",North Eastern Zone,500,2,4,Green,Very Good,28,"North Indian, Street Food, Mithai",No,No,
2100702,Barbeque Nation,Guwahati,"2nd Floor, Adityam Building, Ulubari, Guwahati",North Eastern Zone,1500,4,4.9,Dark Green,Excellent,774,"Chinese, North Indian",No,No,
2100101,Yo! China,Guwahati,"1st Floor, Adityam Building,Borthakur Mall Road, Ulubari, Guwahati",North Eastern Zone,800,3,3.6,Yellow,Good,327,"North Indian, Mughlai, Awadhi",No,No,
2100322,4 Seasons,Guwahati,"Opposite Institute of Social Science, Bhuban Road, Uzan Bazaar, Guwahati",North Eastern Zone,300,1,3.6,Yellow,Good,142,"North Indian, Chinese",No,No,
2100784,11th Avenue Cafe Bistro,Guwahati,"Opposite Assam State Museum, Dighalipukhuri, Tayabullah Road, Uzan Bazaar, Guwahati",North Eastern Zone,400,2,4.1,Green,Very Good,377,"Chinese, North Indian",No,No,
2100849,Caf¡? Riverrun,Guwahati,"47, Mahatma Gandhi Road, Uzan Bazaar, FabIndia Building, Guwahati ",North Eastern Zone,500,2,4.2,Green,Very Good,99,"Bakery, Fast Food",No,No,
18480196,Fat Belly,Guwahati,"Opposite Rabindra Bhawan, GNB Road, Ambari, Dighalipukhuri East, Uzan Bazaar, Guwahati",North Eastern Zone,500,2,4.1,Green,Very Good,25,"North Indian, Chinese",No,No,
